city_id;name
1;Балларат
2;Бендиго
3;Варрнамбул
4;Водонга
5;Гилонг
6;Мелтон
7;Мельбурн
8;Милдура
9;Траралгон
10;Шеппартон
11;Бунбури
12;Гералдтон
13;Калгурли
14;Мандурах
15;Олбани
16;Перт
17;Брисбен
18;Бундаберг
19;Гладстон
20;Каирнс
21;Калундра
22;Маккей
23;Мариборо
24;Маунт-Иса
25;Рокхамптон
26;Таунсвилл
27;Тувумба
28;Албури
29;Армидейл
30;Батурст
31;Брокен-Хилл
32;Вагга-Вагга
33;Воллонгонг
34;Гоулбурн
35;Дуббо-Дуббо
36;Коффс-Харбор
37;Куэнбиан
38;Лисмор
39;Ньюкастл
40;Оранж
41;Сидней
42;Тамворт
43;Алис Спрингс
44;Дарвин
45;Девонпорт
46;Лаункестон
47;Хобарт
48;Канберра
49;Аделаида
50;Маунт-Гамбир
51;Вена
52;Велс
53;Линц
54;Стир
55;Зальцбург
56;Виллач
57;Клагенфурт
58;Венер-Нойштадт
59;Грац
60;Иннсбрук
61;Леобен
62;Агдам
63;Агдаш
64;Агджабеди
65;Аджикенд
66;Акстафа
67;Али-Байрамлы
68;Алунитаг
69;Артем-Остров
70;Астара
71;Ахсу
72;Баку
73;Балаханы
74;Банк
75;Барда
76;Белоканы
77;Бинагади
78;Бирмай
79;Бузовна
80;Варташен
81;Гадрут
82;Геокчай
83;Гобустан
84;Горадиз
85;Гэтргян
86;Дальмамедли
87;Дашкесан
88;Джалилабад
89;Джебраил
90;Дивичи
91;Евлах
92;Ждановск
93;Закаталы
94;Зангелан
95;Зардоб
96;Имишли
97;Исмаиллы
98;Истису
99;Казанбулак
100;Казах
101;Кази-Магомед
102;Карачала
103;Касум-Исмаилов
104;Кахи
105;Кедабек
106;Кельбаджар
107;Кергез
108;Кировобад
109;Кировск
110;Кировский
111;Куба
112;Кубатлы
113;Куткашен
114;Кюрдамир
115;Ленкорань
116;Лерик
117;Маргуни
118;Мардакерт
119;Масаллы
120;Маштага
121;Мингечаур
122;Мир-Башир
123;Нафталан
124;Нефтечала
125;Пушкино
126;Саатлы
127;Сабирабад
128;Сабуичи
129;Сальяны
130;Сиазань
131;Сумгаит
132;Тауз
133;Уджары
134;Физули
135;Ханлар
136;Хачмас
137;Худат
138;Шамхор
139;Шаумяновск
140;Шеки
141;Шемаха
142;Ярдымлы
143;Степанокерт
144;Шуша
145;Джульфа
146;Ильичевск
147;Нахичевань
148;Ордубад
149;Шахбуз
150;Ангуилья
151;Сомбреро
152;Азул
153;Байя-Бланка
154;Буэнос-Айрес
155;Кампана
156;Ла-Плата
157;Мар-дель-Плата
158;Мерседес
159;Некочеа
160;Олаварриа
161;Пергамино
162;Пунта-Альта
163;Сан-Николас
164;Тандил
165;Трес-Арройос
166;Чивилкой
167;Хухуй
168;Катамарка
169;Альта-Грасия
170;Вилла-Мариа
171;Кордова
172;Рио-Куарто
173;Сан-Франсиско
174;Гойя
175;Корриентес
